arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
extract_metrics_before_radon.py,function,,normalizar_caminho,A,1,6,7
extract_metrics_before_radon.py,function,,rodar_radon,A,1,10,12
noxfile.py,function,,docs,A,1,28,30
noxfile.py,function,,bench,A,1,34,42
noxfile.py,function,,e2e,A,1,70,80
noxfile.py,function,,build,A,1,94,98
noxfile.py,function,,examples,A,1,102,111
build/lib/datachain/asyn.py,method,AsyncMapper,start_task,A,1,75,79
build/lib/datachain/asyn.py,method,AsyncMapper,produce,A,1,93,94
build/lib/datachain/asyn.py,method,AsyncMapper,init,A,1,120,123
build/lib/datachain/asyn.py,method,AsyncMapper,_pop_result,A,1,164,165
build/lib/datachain/asyn.py,method,AsyncMapper,next_result,A,1,167,174
build/lib/datachain/asyn.py,method,AsyncMapper,_end_iteration,A,1,176,178
build/lib/datachain/asyn.py,method,AsyncMapper,__iter__,A,1,205,206
build/lib/datachain/asyn.py,method,AsyncMapper,to_thread,A,1,208,209
build/lib/datachain/asyn.py,method,OrderedMapper,__init__,A,1,231,240
build/lib/datachain/asyn.py,method,OrderedMapper,init,A,1,260,261
build/lib/datachain/asyn.py,method,OrderedMapper,_end_iteration,A,1,275,276
build/lib/datachain/asyn.py,method,OrderedMapper,_break_iteration,A,1,278,280
build/lib/datachain/cache.py,function,,get_temp_cache,A,1,25,31
build/lib/datachain/cache.py,method,Cache,__init__,A,1,50,62
build/lib/datachain/cache.py,method,Cache,__eq__,A,1,64,65
build/lib/datachain/cache.py,method,Cache,cache_dir,A,1,68,69
build/lib/datachain/cache.py,method,Cache,tmp_dir,A,1,72,73
build/lib/datachain/cache.py,method,Cache,as_readonly,A,1,75,77
build/lib/datachain/cache.py,method,Cache,store_data,A,1,141,142
build/lib/datachain/cache.py,method,Cache,clear,A,1,144,148
build/lib/datachain/cache.py,method,Cache,destroy,A,1,150,152
build/lib/datachain/cache.py,method,ReadonlyCache,_readonly_error,A,1,172,173
build/lib/datachain/cache.py,method,ReadonlyCache,remove,A,1,175,176
build/lib/datachain/cache.py,method,ReadonlyCache,download,A,1,178,181
build/lib/datachain/cache.py,method,ReadonlyCache,store_data,A,1,183,184
build/lib/datachain/cache.py,method,ReadonlyCache,clear,A,1,186,187
build/lib/datachain/cache.py,method,ReadonlyCache,destroy,A,1,189,190
build/lib/datachain/checkpoint.py,method,Checkpoint,output_table_name,A,1,37,39
build/lib/datachain/checkpoint.py,method,Checkpoint,partial_output_table_name,A,1,42,44
build/lib/datachain/checkpoint.py,method,Checkpoint,input_table_name,A,1,47,49
build/lib/datachain/checkpoint.py,method,Checkpoint,partition_table_name,A,1,52,54
build/lib/datachain/checkpoint.py,method,Checkpoint,input_table_pattern,A,1,57,59
build/lib/datachain/checkpoint.py,method,Checkpoint,parse,A,1,75,90
build/lib/datachain/checkpoint_event.py,method,CheckpointEvent,parse,A,1,73,121
build/lib/datachain/config.py,method,Config,__init__,A,1,24,27
build/lib/datachain/config.py,method,Config,init,A,1,38,40
build/lib/datachain/config.py,method,Config,edit,A,1,69,73
build/lib/datachain/config.py,method,Config,config_file,A,1,75,76
build/lib/datachain/config.py,method,Config,write,A,1,78,80
build/lib/datachain/dataset.py,function,,create_dataset_full_name,A,1,94,103
build/lib/datachain/dataset.py,method,DatasetDependency,is_dataset,A,1,244,245
build/lib/datachain/dataset.py,method,DatasetDependency,__hash__,A,1,257,258
build/lib/datachain/dataset.py,method,DatasetVersion,version_value,A,1,354,355
build/lib/datachain/dataset.py,method,DatasetVersion,__hash__,A,1,367,368
build/lib/datachain/dataset.py,method,DatasetVersion,is_final_status,A,1,370,375
build/lib/datachain/dataset.py,method,DatasetListVersion,parse,A,1,433,463
build/lib/datachain/dataset.py,method,DatasetListVersion,__hash__,A,1,474,475
build/lib/datachain/dataset.py,method,DatasetListVersion,version_value,A,1,478,479
build/lib/datachain/dataset.py,method,DatasetRecord,versions,A,1,515,517
build/lib/datachain/dataset.py,method,DatasetRecord,__hash__,A,1,519,520
build/lib/datachain/dataset.py,method,DatasetRecord,full_name,A,1,664,665
build/lib/datachain/dataset.py,method,DatasetRecord,uri,A,1,722,729
build/lib/datachain/dataset.py,method,DatasetListRecord,full_name,A,1,949,950
build/lib/datachain/dataset.py,method,DatasetListRecord,latest_version,A,1,952,953
build/lib/datachain/delta.py,function,,_dataset_identity,A,1,28,32
build/lib/datachain/delta.py,function,,delta_disabled,A,1,36,73
build/lib/datachain/delta.py,function,,_build_source_diff_chain,A,1,136,159
build/lib/datachain/error.py,method,QueryScriptRunError,__init__,A,1,85,88
build/lib/datachain/error.py,method,ClientError,__init__,A,1,106,109
build/lib/datachain/json.py,function,,loads,A,1,181,184
build/lib/datachain/json.py,function,,load,A,1,187,190
build/lib/datachain/listing.py,method,Listing,__init__,A,1,29,44
build/lib/datachain/listing.py,method,Listing,clone,A,1,46,53
build/lib/datachain/listing.py,method,Listing,__enter__,A,1,56,57
build/lib/datachain/listing.py,method,Listing,__exit__,A,1,59,60
build/lib/datachain/listing.py,method,Listing,resolve_path,A,1,104,105
build/lib/datachain/listing.py,method,Listing,du,A,1,227,228
build/lib/datachain/listing.py,method,Listing,get_dirs_by_parent_path,A,1,243,247
build/lib/datachain/namespace.py,method,Namespace,default,A,1,57,59
build/lib/datachain/namespace.py,method,Namespace,system,A,1,62,64
build/lib/datachain/namespace.py,method,Namespace,is_system,A,1,67,68
build/lib/datachain/namespace.py,method,Namespace,parse,A,1,71,79
build/lib/datachain/node.py,method,Node,is_dir,A,1,69,70
build/lib/datachain/node.py,method,Node,is_container,A,1,73,74
build/lib/datachain/node.py,method,Node,from_row,A,1,126,143
build/lib/datachain/node.py,function,,_dval,A,1,127,128
build/lib/datachain/node.py,method,Node,from_dir,A,1,147,148
build/lib/datachain/node.py,method,Node,root,A,1,151,152
build/lib/datachain/node.py,method,Node,name,A,1,155,156
build/lib/datachain/node.py,method,NodeWithPath,append_to_file,A,1,175,176
build/lib/datachain/node.py,method,NodeWithPath,instantiate,A,1,185,192
build/lib/datachain/nodes_fetcher.py,method,NodesFetcher,__init__,A,1,16,19
build/lib/datachain/nodes_thread_pool.py,method,NodeChunk,__init__,A,1,7,14
build/lib/datachain/nodes_thread_pool.py,method,NodeChunk,__iter__,A,1,16,17
build/lib/datachain/nodes_thread_pool.py,method,NodesThreadPool,__init__,A,1,55,61
build/lib/datachain/nodes_thread_pool.py,method,NodesThreadPool,increase_counter,A,1,125,127
build/lib/datachain/nodes_thread_pool.py,method,NodesThreadPool,do_task,A,1,130,131
build/lib/datachain/nodes_thread_pool.py,method,NodesThreadPool,done_task,A,1,134,135
build/lib/datachain/progress.py,method,CombinedDownloadCallback,set_size,A,1,28,31
build/lib/datachain/progress.py,method,CombinedDownloadCallback,increment_file_count,A,1,33,34
build/lib/datachain/progress.py,method,TqdmCombinedDownloadCallback,__init__,A,1,38,40
build/lib/datachain/project.py,method,Project,default,A,1,40,42
build/lib/datachain/project.py,method,Project,listing,A,1,45,47
build/lib/datachain/project.py,method,Project,parse,A,1,50,72
build/lib/datachain/script_meta.py,method,ScriptConfigParsingError,__init__,A,1,14,15
build/lib/datachain/script_meta.py,method,ScriptConfig,get_param,A,1,88,89
build/lib/datachain/script_meta.py,method,ScriptConfig,get_input,A,1,91,92
build/lib/datachain/script_meta.py,method,ScriptConfig,get_output,A,1,94,95
build/lib/datachain/script_meta.py,method,ScriptConfig,get_attachment,A,1,97,98
build/lib/datachain/semver.py,function,,parse,A,1,6,10
build/lib/datachain/semver.py,function,,value,A,1,45,51
build/lib/datachain/studio.py,function,,ds_full_name,A,1,282,284
build/lib/datachain/studio.py,function,,_save_default_team,A,1,139,146
build/lib/datachain/studio.py,function,,save_config,A,1,366,374
build/lib/datachain/studio.py,function,,_fetch_log_blob,A,1,395,404
build/lib/datachain/studio.py,function,,_fetch,A,1,398,402
build/lib/datachain/studio.py,function,,_print_reconnect_msg,A,1,427,430
build/lib/datachain/utils.py,function,,sql_escape_like,A,1,311,315
build/lib/datachain/utils.py,function,,retry_with_backoff,A,1,382,406
build/lib/datachain/utils.py,function,,retry,A,1,383,404
build/lib/datachain/utils.py,function,,uses_glob,A,1,581,583
build/lib/datachain/utils.py,function,,checkpoints_enabled,A,1,586,594
build/lib/datachain/utils.py,method,DataChainDir,init,A,1,82,88
build/lib/datachain/utils.py,method,DatasetIdentifier,__hash__,A,1,206,207
build/lib/datachain/utils.py,method,DatasetIdentifier,from_dataset_dependency,A,1,220,227
build/lib/datachain/catalog/catalog.py,function,,_row_to_node,A,1,663,665
