arquivo,mi,rank_mi
build/lib/datachain/checkpoint.py,100.0,A
build/lib/datachain/error.py,100.0,A
build/lib/datachain/nodes_fetcher.py,100.0,A
build/lib/datachain/plugins.py,100.0,A
build/lib/datachain/telemetry.py,100.0,A
build/lib/datachain/__init__.py,100.0,A
build/lib/datachain/catalog/__init__.py,100.0,A
build/lib/datachain/cli/commands/du.py,100.0,A
build/lib/datachain/cli/commands/index.py,100.0,A
build/lib/datachain/cli/commands/misc.py,100.0,A
build/lib/datachain/cli/commands/__init__.py,100.0,A
build/lib/datachain/cli/parser/pipeline.py,100.0,A
build/lib/datachain/cli/parser/skill.py,100.0,A
build/lib/datachain/cli/parser/studio.py,100.0,A
build/lib/datachain/cli/parser/__init__.py,100.0,A
build/lib/datachain/client/__init__.py,100.0,A
build/lib/datachain/data_storage/job.py,100.0,A
build/lib/datachain/data_storage/__init__.py,100.0,A
build/lib/datachain/fs/__init__.py,100.0,A
build/lib/datachain/func/base.py,100.0,A
build/lib/datachain/func/path.py,100.0,A
build/lib/datachain/func/random.py,100.0,A
build/lib/datachain/func/__init__.py,100.0,A
build/lib/datachain/lib/tar.py,100.0,A
build/lib/datachain/lib/__init__.py,100.0,A
build/lib/datachain/lib/convert/__init__.py,100.0,A
build/lib/datachain/lib/dc/parquet.py,100.0,A
build/lib/datachain/lib/dc/values.py,100.0,A
build/lib/datachain/lib/dc/__init__.py,100.0,A
build/lib/datachain/model/__init__.py,100.0,A
build/lib/datachain/model/ultralytics/__init__.py,100.0,A
build/lib/datachain/query/queue.py,100.0,A
build/lib/datachain/query/__init__.py,100.0,A
build/lib/datachain/remote/__init__.py,100.0,A
build/lib/datachain/skill/__init__.py,100.0,A
build/lib/datachain/skill/jobs/__init__.py,100.0,A
build/lib/datachain/skill/jobs/scripts/__init__.py,100.0,A
build/lib/datachain/skill/knowledge/__init__.py,100.0,A
build/lib/datachain/skill/knowledge/scripts/__init__.py,100.0,A
build/lib/datachain/sql/postgresql_dialect.py,100.0,A
build/lib/datachain/sql/postgresql_types.py,100.0,A
build/lib/datachain/sql/__init__.py,100.0,A
build/lib/datachain/sql/default/base.py,100.0,A
build/lib/datachain/sql/default/__init__.py,100.0,A
build/lib/datachain/sql/functions/aggregate.py,100.0,A
build/lib/datachain/sql/functions/array.py,100.0,A
build/lib/datachain/sql/functions/conditional.py,100.0,A
build/lib/datachain/sql/functions/numeric.py,100.0,A
build/lib/datachain/sql/functions/path.py,100.0,A
build/lib/datachain/sql/functions/random.py,100.0,A
build/lib/datachain/sql/functions/string.py,100.0,A
build/lib/datachain/sql/functions/__init__.py,100.0,A
build/lib/datachain/sql/sqlite/__init__.py,100.0,A
build/lib/datachain/toolkit/__init__.py,100.0,A
build/lib/datachain/torch/__init__.py,100.0,A
examples/computer_vision/ultralytics-bbox.py,100.0,A
examples/computer_vision/ultralytics-pose.py,100.0,A
examples/computer_vision/ultralytics-segment.py,100.0,A
examples/get_started/common_sql_functions.py,100.0,A
examples/get_started/udfs/simple.py,100.0,A
examples/multimodal/wds.py,100.0,A
src/datachain/checkpoint.py,100.0,A
src/datachain/error.py,100.0,A
src/datachain/nodes_fetcher.py,100.0,A
src/datachain/plugins.py,100.0,A
src/datachain/telemetry.py,100.0,A
src/datachain/__init__.py,100.0,A
src/datachain/catalog/__init__.py,100.0,A
src/datachain/cli/commands/du.py,100.0,A
src/datachain/cli/commands/index.py,100.0,A
src/datachain/cli/commands/misc.py,100.0,A
src/datachain/cli/commands/__init__.py,100.0,A
src/datachain/cli/parser/pipeline.py,100.0,A
src/datachain/cli/parser/skill.py,100.0,A
src/datachain/cli/parser/studio.py,100.0,A
src/datachain/cli/parser/__init__.py,100.0,A
src/datachain/client/__init__.py,100.0,A
src/datachain/data_storage/job.py,100.0,A
src/datachain/data_storage/__init__.py,100.0,A
src/datachain/fs/__init__.py,100.0,A
src/datachain/func/base.py,100.0,A
src/datachain/func/path.py,100.0,A
src/datachain/func/random.py,100.0,A
src/datachain/func/__init__.py,100.0,A
src/datachain/lib/tar.py,100.0,A
src/datachain/lib/__init__.py,100.0,A
src/datachain/lib/convert/__init__.py,100.0,A
src/datachain/lib/dc/parquet.py,100.0,A
src/datachain/lib/dc/values.py,100.0,A
src/datachain/lib/dc/__init__.py,100.0,A
src/datachain/model/__init__.py,100.0,A
src/datachain/model/ultralytics/__init__.py,100.0,A
src/datachain/query/queue.py,100.0,A
src/datachain/query/__init__.py,100.0,A
src/datachain/remote/__init__.py,100.0,A
src/datachain/skill/__init__.py,100.0,A
src/datachain/skill/jobs/__init__.py,100.0,A
src/datachain/skill/jobs/scripts/__init__.py,100.0,A
src/datachain/skill/knowledge/__init__.py,100.0,A
src/datachain/skill/knowledge/scripts/__init__.py,100.0,A
src/datachain/sql/postgresql_dialect.py,100.0,A
src/datachain/sql/postgresql_types.py,100.0,A
src/datachain/sql/__init__.py,100.0,A
src/datachain/sql/default/base.py,100.0,A
src/datachain/sql/default/__init__.py,100.0,A
src/datachain/sql/functions/aggregate.py,100.0,A
src/datachain/sql/functions/array.py,100.0,A
src/datachain/sql/functions/conditional.py,100.0,A
src/datachain/sql/functions/numeric.py,100.0,A
src/datachain/sql/functions/path.py,100.0,A
src/datachain/sql/functions/random.py,100.0,A
src/datachain/sql/functions/string.py,100.0,A
src/datachain/sql/functions/__init__.py,100.0,A
src/datachain/sql/sqlite/__init__.py,100.0,A
src/datachain/toolkit/__init__.py,100.0,A
src/datachain/torch/__init__.py,100.0,A
tests/data.py,100.0,A
tests/__init__.py,100.0,A
tests/benchmarks/test_ls.py,100.0,A
tests/benchmarks/test_version.py,100.0,A
tests/benchmarks/__init__.py,100.0,A
tests/examples/wds_data.py,100.0,A
tests/examples/__init__.py,100.0,A
tests/func/__init__.py,100.0,A
tests/func/checkpoints/__init__.py,100.0,A
tests/func/functions/__init__.py,100.0,A
tests/func/model/__init__.py,100.0,A
tests/scripts/feature_class.py,100.0,A
tests/scripts/feature_class_exception.py,100.0,A
tests/unit/test_module_exports.py,100.0,A
tests/unit/__init__.py,100.0,A
tests/unit/lib/__init__.py,100.0,A
tests/unit/model/test_utils.py,100.0,A
tests/unit/model/__init__.py,100.0,A
tests/unit/sql/test_random.py,100.0,A
tests/unit/sql/__init__.py,100.0,A
tests/unit/sql/sqlite/__init__.py,100.0,A
build/lib/datachain/fs/reference.py,98.6098,A
src/datachain/fs/reference.py,98.6098,A
build/lib/datachain/cli/commands/bucket.py,97.5,A
src/datachain/cli/commands/bucket.py,97.5,A
tests/unit/lib/test_sql_to_python.py,95.9192,A
tests/benchmarks/test_datachain.py,95.6193,A
build/lib/datachain/lib/dc/pandas.py,95.5902,A
src/datachain/lib/dc/pandas.py,95.5902,A
examples/multimodal/zarr-robot-frames.py,94.1028,A
docs/api_hooks.py,93.4096,A
tests/scripts/name_len_slow.py,92.7305,A
examples/get_started/udfs/parallel.py,92.229,A
build/lib/datachain/lib/text.py,92.0495,A
src/datachain/lib/text.py,92.0495,A
build/lib/datachain/lib/dc/zarr.py,91.2163,A
src/datachain/lib/dc/zarr.py,91.2163,A
build/lib/datachain/func/window.py,91.1227,A
src/datachain/func/window.py,91.1227,A
examples/incremental_processing/utils.py,89.9013,A
tests/func/functions/test_random.py,88.8481,A
examples/multimodal/wds_filtered.py,88.2226,A
examples/incremental_processing/delta.py,87.9985,A
examples/get_started/udfs/stateful.py,87.8857,A
extract_metrics_before_codecarbon.py,87.8537,A
examples/computer_vision/llava2_image_desc_lib.py,86.9977,A
build/lib/datachain/skill/knowledge/scripts/db_mtime.py,86.8464,A
src/datachain/skill/knowledge/scripts/db_mtime.py,86.8464,A
build/lib/datachain/lib/image.py,86.8315,A
src/datachain/lib/image.py,86.8315,A
build/lib/datachain/progress.py,86.6823,A
src/datachain/progress.py,86.6823,A
examples/get_started/nested_datamodel.py,85.5649,A
build/lib/datachain/lib/dc/json.py,85.4073,A
src/datachain/lib/dc/json.py,85.4073,A
examples/multimodal/audio-to-text.py,84.1375,A
tests/unit/test_catalog.py,82.8862,A
build/lib/datachain/__main__.py,81.8563,A
src/datachain/__main__.py,81.8563,A
build/lib/datachain/lib/dc/hf.py,80.9235,A
src/datachain/lib/dc/hf.py,80.9235,A
tests/func/test_signal_schema.py,80.9099,A
tests/func/test_session.py,80.6519,A
tests/scripts/feature_class_parallel.py,80.3824,A
extract_metrics_before_pytest.py,80.2746,A
tests/benchmarks/conftest.py,79.8768,A
tests/unit/sql/sqlite/test_utils.py,79.7423,A
tests/scripts/feature_class_parallel_data_model.py,79.5961,A
examples/multimodal/clip_inference.py,79.394,A
build/lib/datachain/lib/dc/csv.py,79.098,A
src/datachain/lib/dc/csv.py,79.098,A
build/lib/datachain/model/ultralytics/segment.py,78.303,A
src/datachain/model/ultralytics/segment.py,78.303,A
tests/unit/lib/test_schema.py,77.8806,A
build/lib/datachain/client/hf.py,77.4169,A
src/datachain/client/hf.py,77.4169,A
build/lib/datachain/model/segment.py,77.4056,A
src/datachain/model/segment.py,77.4056,A
build/lib/datachain/lib/dc/listings.py,76.8517,A
src/datachain/lib/dc/listings.py,76.8517,A
build/lib/datachain/lib/projects.py,76.8448,A
src/datachain/lib/projects.py,76.8448,A
build/lib/datachain/lib/namespaces.py,76.5063,A
src/datachain/lib/namespaces.py,76.5063,A
build/lib/datachain/lib/convert/sql_to_python.py,75.7116,A
src/datachain/lib/convert/sql_to_python.py,75.7116,A
build/lib/datachain/semver.py,75.273,A
src/datachain/semver.py,75.273,A
examples/get_started/json-csv-reader.py,75.2273,A
examples/incremental_processing/retry.py,75.0142,A
examples/llm_and_nlp/hf-dataset-llm-eval.py,74.9171,A
tests/func/test_union.py,74.6645,A
examples/multimodal/hf_pipeline.py,74.2607,A
build/lib/datachain/sql/functions/conversion.py,74.0184,A
src/datachain/sql/functions/conversion.py,74.0184,A
tests/test_import_time.py,73.9775,A
build/lib/datachain/model/ultralytics/pose.py,73.9292,A
src/datachain/model/ultralytics/pose.py,73.9292,A
build/lib/datachain/data_storage/buffer.py,73.6887,A
src/datachain/data_storage/buffer.py,73.6887,A
build/lib/datachain/lib/listing_info.py,73.6868,A
src/datachain/lib/listing_info.py,73.6868,A
build/lib/datachain/query/params.py,73.3133,A
src/datachain/query/params.py,73.3133,A
build/lib/datachain/query/metrics.py,73.1428,A
src/datachain/query/metrics.py,73.1428,A
build/lib/datachain/model/ultralytics/bbox.py,72.8509,A
src/datachain/model/ultralytics/bbox.py,72.8509,A
examples/computer_vision/openimage-detect.py,72.5196,A
tests/func/checkpoints/test_checkpoint_concurrency.py,71.1431,A
build/lib/datachain/fs/utils.py,70.9394,A
src/datachain/fs/utils.py,70.9394,A
build/lib/datachain/script_meta.py,70.8323,A
src/datachain/script_meta.py,70.8323,A
build/lib/datachain/lib/dc/records.py,70.74,A
src/datachain/lib/dc/records.py,70.74,A
build/lib/datachain/skill/knowledge/scripts/cleanup_json.py,70.7289,A
src/datachain/skill/knowledge/scripts/cleanup_json.py,70.7289,A
tests/unit/sql/test_path.py,69.5124,A
build/lib/datachain/sql/utils.py,69.3344,A
src/datachain/sql/utils.py,69.3344,A
tests/unit/model/test_segment.py,69.3344,A
build/lib/datachain/toolkit/split.py,68.9393,A
src/datachain/toolkit/split.py,68.9393,A
tests/func/test_storage_auto_anon.py,68.7532,A
examples/get_started/torch-loader.py,68.7192,A
tests/unit/lib/test_listing_info.py,68.4988,A
build/lib/datachain/lib/convert/flatten.py,68.4238,A
tests/unit/test_job.py,68.4203,A
build/lib/datachain/skill/knowledge/scripts/list_datasets.py,68.2205,A
src/datachain/skill/knowledge/scripts/list_datasets.py,68.2205,A
tests/unit/sql/test_selectable.py,68.045,A
build/lib/datachain/data_storage/serializer.py,67.6777,A
src/datachain/data_storage/serializer.py,67.6777,A
tests/unit/lib/conftest.py,67.5474,A
extract_score_before_pylint.py,67.2867,A
tests/func/test_similarity_search.py,67.0993,A
tests/func/test_read_csv.py,66.9603,A
build/lib/datachain/catalog/dependency.py,66.6677,A
build/lib/datachain/data_storage/db_engine.py,66.6411,A
src/datachain/data_storage/db_engine.py,66.6411,A
tests/unit/test_query_params.py,66.609,A
tests/unit/test_data_storage.py,66.4753,A
examples/llm_and_nlp/claude-query.py,66.0549,A
build/lib/datachain/model/pose.py,66.0535,A
src/datachain/model/pose.py,66.0535,A
noxfile.py,66.051,A
src/datachain/catalog/dependency.py,65.8381,A
build/lib/datachain/cli/utils.py,65.2631,A
src/datachain/cli/utils.py,65.2631,A
examples/computer_vision/iptc_exif_xmp_lib.py,65.2381,A
build/lib/datachain/namespace.py,65.2072,A
src/datachain/namespace.py,65.2072,A
build/lib/datachain/sql/selectable.py,65.1241,A
src/datachain/sql/selectable.py,65.1241,A
build/lib/datachain/lib/clip.py,65.0684,A
src/datachain/lib/clip.py,65.0684,A
build/lib/datachain/query/udf.py,65.0304,A
src/datachain/query/udf.py,65.0304,A
extract_metrics_before_pylint.py,64.8827,A
build/lib/datachain/catalog/datasource.py,64.4765,A
src/datachain/catalog/datasource.py,64.4765,A
build/lib/datachain/sql/sqlite/types.py,64.3926,A
src/datachain/sql/sqlite/types.py,64.3926,A
build/lib/datachain/func/numeric.py,64.3384,A
src/datachain/func/numeric.py,64.3384,A
src/datachain/lib/convert/flatten.py,63.6815,A
tests/test_telemetry.py,63.3833,A
tests/unit/test_query_metrics.py,63.2056,A
build/lib/datachain/hash_utils.py,63.0964,A
src/datachain/hash_utils.py,63.0964,A
src/datachain/lib/dc/datasets.py,62.9768,A
build/lib/datachain/lib/dc/datasets.py,62.5287,A
build/lib/datachain/lib/webdataset_laion.py,62.4222,A
src/datachain/lib/webdataset_laion.py,62.4222,A
src/datachain/lib/convert/unflatten.py,62.3865,A
build/lib/datachain/client/fileslice.py,62.0748,A
src/datachain/client/fileslice.py,62.0748,A
tests/unit/test_config.py,62.0195,A
build/lib/datachain/catalog/loader.py,62.0033,A
src/datachain/catalog/loader.py,62.0033,A
tests/func/checkpoints/test_checkpoint_parallel.py,61.8483,A
tests/func/test_audio.py,61.8191,A
tests/unit/test_skill_jobs_scripts.py,61.8153,A
build/lib/datachain/query/batch.py,61.7265,A
src/datachain/query/batch.py,61.7265,A
build/lib/datachain/lib/dc/storage.py,61.5698,A
tests/examples/test_examples.py,61.2218,A
tests/func/test_studio_datetime_parsing.py,61.0808,A
tests/func/test_meta_formats.py,60.7499,A
build/lib/datachain/skill/knowledge/scripts/changes.py,60.5341,A
src/datachain/skill/knowledge/scripts/changes.py,60.5341,A
src/datachain/diff/__init__.py,60.3418,A
build/lib/datachain/cli/commands/show.py,60.2846,A
src/datachain/cli/commands/show.py,60.2846,A
tests/func/test_metrics.py,60.1266,A
tests/func/checkpoints/test_checkpoint_job_linking.py,59.934,A
tests/func/test_bucket_status.py,59.917,A
tests/test_job_management_e2e.py,59.6045,A
build/lib/datachain/model/bbox.py,59.5343,A
src/datachain/model/bbox.py,59.5343,A
build/lib/datachain/skill/knowledge/scripts/schema.py,59.4925,A
src/datachain/skill/knowledge/scripts/schema.py,59.4925,A
build/lib/datachain/cli/parser/utils.py,59.4849,A
