arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
,,,,,,,,
src/datachain/sql/functions/array.py,0,,,,,,,
src/datachain/sql/functions/conditional.py,0,,,,,,,
src/datachain/sql/functions/numeric.py,0,,,,,,,
src/datachain/sql/functions/path.py,0,,,,,,,
src/datachain/sql/functions/random.py,0,,,,,,,
src/datachain/sql/functions/string.py,0,,,,,,,
tests/scripts/feature_class.py,0,,,,,,,
tests/scripts/feature_class_parallel.py,0,,,,,,,
tests/scripts/feature_class_parallel_data_model.py,0,,,,,,,
src/datachain/skill/jobs/scripts/jobs.py,11,7.0,42,77,F,,cmd_fetch,176
src/datachain/skill/knowledge/scripts/dataset_all.py,4,17.75,58,71,F,,_fetch_all_versions,13
src/datachain/skill/knowledge/scripts/dataset.py,3,18.0,52,54,F,,fetch_version_data,16
tests/unit/lib/test_datachain.py,299,3.7,32,1105,E,,test_column_compute,4938
src/datachain/lib/settings.py,13,5.38,31,70,E,Settings,__init__,27
src/datachain/diff/__init__.py,4,10.0,31,40,E,,_compare,27
tests/func/test_data_storage.py,3,14.67,36,44,E,,c,99
src/datachain/query/dataset.py,201,2.63,25,528,D,DatasetQuery,save,3295
src/datachain/query/dispatch.py,25,3.0,22,75,D,UDFDispatcher,run_udf_parallel,255
tests/func/test_pull.py,26,3.08,23,80,D,,test_pull_dataset_success,135
tests/func/test_udf.py,61,3.21,27,196,D,,test_udf_none_nested_datamodel_after_outer_merge,22
src/datachain/lib/dc/datachain.py,101,3.34,27,337,D,DataChain,group_by,1278
src/datachain/lib/signal_schema.py,66,4.97,21,328,D,SignalSchema,_convert_feature_value,727
src/datachain/catalog/catalog.py,75,5.0,25,375,D,,pull_dataset,1717
tests/func/test_datasets.py,37,5.62,22,208,D,,test_create_dataset_from_sources,194
src/datachain/lib/utils.py,10,5.8,28,58,D,,type_to_str,173
tests/test_query_e2e.py,6,6.33,21,38,D,,run_step,173
tests/func/test_metastore.py,42,6.33,27,266,D,,test_update_dataset_version,467
tests/func/test_audio.py,4,7.5,27,30,D,,test_audio_datachain_workflow,33
src/datachain/lib/dc/storage_pattern.py,8,9.5,21,76,D,,_expand_range,150
src/datachain/lib/dc/storage.py,4,10.0,25,40,D,,read_storage,62
src/datachain/cli/commands/skill.py,6,10.67,28,64,D,,install_skills,115
src/datachain/skill/knowledge/scripts/plan.py,5,11.6,28,58,D,,plan_datasets,48
src/datachain/lib/convert/python_to_sql.py,3,13.67,22,41,D,,python_to_sql,38
tests/test_atomicity.py,3,13.67,24,41,D,,test_concurrent_save_fails_after_max_retries,128
src/datachain/data_storage/sqlite.py,84,2.0,12,168,C,SQLiteDatabaseEngine,add_column,288
src/datachain/data_storage/metastore.py,192,2.06,17,396,C,AbstractDBMetastore,update_dataset_version,1396
tests/unit/lib/test_utils.py,33,2.3,11,76,C,,test_type_to_str_typing_module_vs_builtin_generics,295
src/datachain/client/local.py,20,2.4,12,48,C,FileClient,validate_file_path,103
src/datachain/lib/file.py,86,2.41,14,207,C,File,open,488
tests/unit/lib/test_webdataset.py,12,2.42,14,29,C,,test_webdataset_basic,41
tests/func/test_ls.py,17,2.53,15,43,C,,test_ls_partial_indexing,127
tests/func/test_delta.py,59,2.56,11,151,C,,test_delta_update_from_storage,899
tests/unit/lib/test_diff.py,21,2.62,12,55,C,,test_diff,31
src/datachain/data_storage/warehouse.py,74,2.64,18,195,C,AbstractWarehouse,convert_type,125
tests/unit/lib/test_file.py,65,2.66,13,173,C,,test_audio_get_channel_name,937
tests/func/test_read_dataset_remote.py,37,2.78,11,103,C,,test_read_dataset_remote_update_flag,451
src/datachain/listing.py,17,2.82,11,48,C,Listing,find,176
tests/unit/test_skill_knowledge_scripts.py,79,2.84,13,224,C,,test_render_index_local_datasets,482
src/datachain/client/http.py,13,2.85,11,37,C,HTTPClient,get_uri,73
src/datachain/config.py,11,2.91,12,32,C,Config,get_remote_config,82
src/datachain/lib/listing.py,16,2.94,14,47,C,,get_listing,258
tests/unit/test_dataset.py,27,3.04,13,82,C,,test_dataset_list_record_roundtrip,467
src/datachain/dataset.py,58,3.07,16,178,C,DatasetRecord,parse,532
src/datachain/utils.py,47,3.11,11,146,C,,determine_processes,430
src/datachain/client/gcs.py,16,3.31,12,53,C,GCSClient,bucket_status,44
tests/test_cli_studio.py,71,3.42,18,243,C,,test_studio_run_reuses_previous_job_for_checkpoints,769
src/datachain/lib/pytorch.py,10,3.6,13,36,C,PytorchDataset,_process_row,173
src/datachain/query/session.py,19,3.63,11,69,C,Session,get_or_create_job,134
tests/unit/lib/test_signal_schema.py,82,3.7,12,303,C,,test_select_complex_names_custom_types,885
tests/unit/model/test_pose.py,7,3.71,18,26,C,,test_yolo_pose_body_parts,145
tests/func/checkpoints/test_checkpoint_workflows.py,42,3.83,14,161,C,,test_udf_checkpoints_cross_job_reuse,320
tests/func/test_pytorch.py,10,3.9,12,39,C,,check_prefetched,111
src/datachain/lib/hf.py,10,4.0,12,40,C,,_feature_to_chain_type,179
src/datachain/skill/knowledge/scripts/utils.py,26,4.08,13,106,C,,collect_datasets,257
tests/func/test_mutate.py,17,4.12,11,70,C,,test_mutate_with_primitives_save_load,102
tests/func/test_to_database.py,42,4.12,14,173,C,,test_to_database_comprehensive_data_types,911
tests/func/test_listing.py,14,4.14,14,58,C,,test_listing_generator,18
tests/unit/test_metastore.py,10,4.2,14,42,C,,test_sqlite_metastore,17
tests/func/functions/test_array.py,8,4.25,13,34,C,,test_array_functions_with_nan_inf,495
tests/unit/test_cli_parsing.py,7,4.29,11,30,C,,test_cli_parser,22
tests/func/checkpoints/test_checkpoint_events.py,25,4.44,12,111,C,,test_map_from_scratch_event,50
src/datachain/lib/video.py,27,4.63,11,125,C,,video_info,47
src/datachain/studio.py,36,4.69,18,169,C,,_run,456
src/datachain/lib/data_model.py,7,4.71,14,33,C,,is_chain_type,108
tests/func/test_catalog.py,34,4.79,20,163,C,,test_cp_multi_subdir,262
