arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
extract_metrics_before_radon.py,function,,normalizar_caminho,A,1,6,7
extract_metrics_before_radon.py,function,,rodar_radon,A,1,10,12
noxfile.py,function,,docs,A,1,28,30
noxfile.py,function,,bench,A,1,34,42
noxfile.py,function,,e2e,A,1,70,80
noxfile.py,function,,build,A,1,94,98
noxfile.py,function,,examples,A,1,102,111
examples/computer_vision/llava2_image_desc_lib.py,function,,process,A,1,49,61
examples/computer_vision/ultralytics-bbox.py,function,,process_bboxes,A,1,7,9
examples/computer_vision/ultralytics-pose.py,function,,process_poses,A,1,7,9
examples/computer_vision/ultralytics-segment.py,function,,process_segments,A,1,7,9
examples/get_started/json-csv-reader.py,function,,main,A,1,23,66
examples/get_started/nested_datamodel.py,function,,generate_sample_metrics,A,1,40,48
examples/get_started/nested_datamodel.py,function,,main,A,1,52,62
examples/get_started/torch-loader.py,method,CNN,__init__,A,1,39,45
examples/get_started/torch-loader.py,method,CNN,forward,A,1,47,53
examples/get_started/udfs/stateful.py,function,,embeddings,A,1,27,31
examples/get_started/udfs/stateful.py,method,ClipImageEncoder,__init__,A,1,19,23
examples/llm_and_nlp/claude-query.py,function,,rate,A,1,39,51
examples/multimodal/audio-to-text.py,function,,info,A,1,20,21
examples/multimodal/audio-to-text.py,function,,fragments,A,1,24,27
examples/multimodal/clip_inference.py,function,,create_dataset,A,1,23,33
examples/multimodal/hf_pipeline.py,function,,process,A,1,42,44
examples/multimodal/hf_pipeline.py,method,Helper,__init__,A,1,25,28
examples/multimodal/hf_pipeline.py,method,Helper,setup,A,1,30,31
examples/multimodal/hf_pipeline.py,method,Helper,process,A,1,33,39
examples/multimodal/zarr-robot-frames.py,function,,frame_meta,A,1,43,50
examples/multimodal/zarr-robot-frames.py,function,,embed_frame,A,1,53,60
examples/multimodal/zarr-robot-frames.py,method,ClipImageEncoder,__init__,A,1,35,39
src/datachain/asyn.py,method,AsyncMapper,start_task,A,1,75,79
src/datachain/asyn.py,method,AsyncMapper,produce,A,1,93,94
src/datachain/asyn.py,method,AsyncMapper,init,A,1,120,123
src/datachain/asyn.py,method,AsyncMapper,_pop_result,A,1,164,165
src/datachain/asyn.py,method,AsyncMapper,next_result,A,1,167,174
src/datachain/asyn.py,method,AsyncMapper,_end_iteration,A,1,176,178
src/datachain/asyn.py,method,AsyncMapper,__iter__,A,1,205,206
src/datachain/asyn.py,method,AsyncMapper,to_thread,A,1,208,209
src/datachain/asyn.py,method,OrderedMapper,__init__,A,1,231,240
src/datachain/asyn.py,method,OrderedMapper,init,A,1,260,261
src/datachain/asyn.py,method,OrderedMapper,_end_iteration,A,1,275,276
src/datachain/asyn.py,method,OrderedMapper,_break_iteration,A,1,278,280
src/datachain/cache.py,function,,get_temp_cache,A,1,25,31
src/datachain/cache.py,method,Cache,__init__,A,1,50,62
src/datachain/cache.py,method,Cache,__eq__,A,1,64,65
src/datachain/cache.py,method,Cache,cache_dir,A,1,68,69
src/datachain/cache.py,method,Cache,tmp_dir,A,1,72,73
src/datachain/cache.py,method,Cache,as_readonly,A,1,75,77
src/datachain/cache.py,method,Cache,store_data,A,1,141,142
src/datachain/cache.py,method,Cache,clear,A,1,144,148
src/datachain/cache.py,method,Cache,destroy,A,1,150,152
src/datachain/cache.py,method,ReadonlyCache,_readonly_error,A,1,172,173
src/datachain/cache.py,method,ReadonlyCache,remove,A,1,175,176
src/datachain/cache.py,method,ReadonlyCache,download,A,1,178,181
src/datachain/cache.py,method,ReadonlyCache,store_data,A,1,183,184
src/datachain/cache.py,method,ReadonlyCache,clear,A,1,186,187
src/datachain/cache.py,method,ReadonlyCache,destroy,A,1,189,190
src/datachain/checkpoint.py,method,Checkpoint,output_table_name,A,1,37,39
src/datachain/checkpoint.py,method,Checkpoint,partial_output_table_name,A,1,42,44
src/datachain/checkpoint.py,method,Checkpoint,input_table_name,A,1,47,49
src/datachain/checkpoint.py,method,Checkpoint,partition_table_name,A,1,52,54
src/datachain/checkpoint.py,method,Checkpoint,input_table_pattern,A,1,57,59
src/datachain/checkpoint.py,method,Checkpoint,parse,A,1,75,90
src/datachain/checkpoint_event.py,method,CheckpointEvent,parse,A,1,73,121
src/datachain/config.py,method,Config,__init__,A,1,24,27
src/datachain/config.py,method,Config,init,A,1,38,40
src/datachain/config.py,method,Config,edit,A,1,69,73
src/datachain/config.py,method,Config,config_file,A,1,75,76
src/datachain/config.py,method,Config,write,A,1,78,80
src/datachain/dataset.py,function,,create_dataset_full_name,A,1,94,103
src/datachain/dataset.py,method,DatasetDependency,is_dataset,A,1,244,245
src/datachain/dataset.py,method,DatasetDependency,__hash__,A,1,257,258
src/datachain/dataset.py,method,DatasetVersion,version_value,A,1,354,355
src/datachain/dataset.py,method,DatasetVersion,__hash__,A,1,367,368
src/datachain/dataset.py,method,DatasetVersion,is_final_status,A,1,370,375
src/datachain/dataset.py,method,DatasetListVersion,parse,A,1,433,463
src/datachain/dataset.py,method,DatasetListVersion,__hash__,A,1,474,475
src/datachain/dataset.py,method,DatasetListVersion,version_value,A,1,478,479
src/datachain/dataset.py,method,DatasetRecord,versions,A,1,515,517
src/datachain/dataset.py,method,DatasetRecord,__hash__,A,1,519,520
src/datachain/dataset.py,method,DatasetRecord,full_name,A,1,664,665
src/datachain/dataset.py,method,DatasetRecord,uri,A,1,722,729
src/datachain/dataset.py,method,DatasetListRecord,full_name,A,1,949,950
src/datachain/dataset.py,method,DatasetListRecord,latest_version,A,1,952,953
src/datachain/delta.py,function,,_dataset_identity,A,1,28,32
src/datachain/delta.py,function,,delta_disabled,A,1,36,73
src/datachain/delta.py,function,,_build_source_diff_chain,A,1,136,159
src/datachain/error.py,method,QueryScriptRunError,__init__,A,1,85,88
src/datachain/error.py,method,ClientError,__init__,A,1,106,109
src/datachain/json.py,function,,loads,A,1,181,184
src/datachain/json.py,function,,load,A,1,187,190
src/datachain/listing.py,method,Listing,__init__,A,1,29,44
src/datachain/listing.py,method,Listing,clone,A,1,46,53
src/datachain/listing.py,method,Listing,__enter__,A,1,56,57
src/datachain/listing.py,method,Listing,__exit__,A,1,59,60
src/datachain/listing.py,method,Listing,resolve_path,A,1,104,105
src/datachain/listing.py,method,Listing,du,A,1,227,228
src/datachain/listing.py,method,Listing,get_dirs_by_parent_path,A,1,243,247
src/datachain/namespace.py,method,Namespace,default,A,1,57,59
src/datachain/namespace.py,method,Namespace,system,A,1,62,64
src/datachain/namespace.py,method,Namespace,is_system,A,1,67,68
src/datachain/namespace.py,method,Namespace,parse,A,1,71,79
src/datachain/node.py,method,Node,is_dir,A,1,69,70
src/datachain/node.py,method,Node,is_container,A,1,73,74
src/datachain/node.py,method,Node,from_row,A,1,126,143
src/datachain/node.py,function,,_dval,A,1,127,128
src/datachain/node.py,method,Node,from_dir,A,1,147,148
src/datachain/node.py,method,Node,root,A,1,151,152
src/datachain/node.py,method,Node,name,A,1,155,156
src/datachain/node.py,method,NodeWithPath,append_to_file,A,1,175,176
src/datachain/node.py,method,NodeWithPath,instantiate,A,1,185,192
src/datachain/nodes_fetcher.py,method,NodesFetcher,__init__,A,1,16,19
src/datachain/nodes_thread_pool.py,method,NodeChunk,__init__,A,1,7,14
src/datachain/nodes_thread_pool.py,method,NodeChunk,__iter__,A,1,16,17
src/datachain/nodes_thread_pool.py,method,NodesThreadPool,__init__,A,1,55,61
src/datachain/nodes_thread_pool.py,method,NodesThreadPool,increase_counter,A,1,125,127
src/datachain/nodes_thread_pool.py,method,NodesThreadPool,do_task,A,1,130,131
src/datachain/nodes_thread_pool.py,method,NodesThreadPool,done_task,A,1,134,135
src/datachain/progress.py,method,CombinedDownloadCallback,set_size,A,1,28,31
src/datachain/progress.py,method,CombinedDownloadCallback,increment_file_count,A,1,33,34
src/datachain/progress.py,method,TqdmCombinedDownloadCallback,__init__,A,1,38,40
src/datachain/project.py,method,Project,default,A,1,40,42
src/datachain/project.py,method,Project,listing,A,1,45,47
src/datachain/project.py,method,Project,parse,A,1,50,72
src/datachain/script_meta.py,method,ScriptConfigParsingError,__init__,A,1,14,15
src/datachain/script_meta.py,method,ScriptConfig,get_param,A,1,88,89
src/datachain/script_meta.py,method,ScriptConfig,get_input,A,1,91,92
src/datachain/script_meta.py,method,ScriptConfig,get_output,A,1,94,95
src/datachain/script_meta.py,method,ScriptConfig,get_attachment,A,1,97,98
src/datachain/semver.py,function,,parse,A,1,6,10
src/datachain/semver.py,function,,value,A,1,45,51
src/datachain/studio.py,function,,ds_full_name,A,1,282,284
src/datachain/studio.py,function,,_save_default_team,A,1,139,146
